postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
2730,Herlev,Biblioteket Kilden,Herlev Bibliotek,"Biblioteket Kilden
Dildhaven 40",,Folkebibliotek,716301,,Hjortespring Bibliotek
2620,Albertslund,Albertslund Bibliotek,Albertslund Bibliotek,Bibliotekstorvet 2,55.6570156,Folkebibliotek,716500,12.3562517,Albertslund Bibliotek
2620,Albertslund,Hedemarken,Albertslund Bibliotek,Hedemarksvej 14,55.657011,Folkebibliotek,716503,12.3399174,Bibliotek og Medborgercenter Hedemarken
,,,Albertslund Bibliotek,,,Folkebibliotek,716510,,Herstedvester Skole Biblioteksservicepunkt
,,,Albertslund Bibliotek,,,Folkebibliotek,716511,,Herstedøster Skole Biblioteksservicepunkt
2650,Hvidovre,Hvidovre Hovedbibliotek,HvidovreBibliotekerne,Hvidovrevej 280,55.641952,Folkebibliotek,716700,12.477669,Hovedbiblioteket
2650,Hvidovre,Avedøre Bibliotek,HvidovreBibliotekerne,Hovedstien 14,55.62752,Folkebibliotek,716701,12.4500379,Avedøre Bibliotek
2630,Taastrup,Taastrup Bibliotek,Høje-Taastrup Kommunes Biblioteker,Taastrup Hovedgade 86,55.648429,Folkebibliotek,716900,12.299623,Tåstrup Bibliotek
2640,Hedehusene,Hedehusene Bibliotek,Høje-Taastrup Kommunes Biblioteker,"Hovedgaden 516, 1.sal",55.6494695,Folkebibliotek,716903,12.1973509,Hedehusene Bibliotek
2800,Kongens Lyngby,Lyngby Bibliotek,Lyngby-Taarbæk Bibliotekerne,Lyngby Hovedgade 28,55.773331,Folkebibliotek,717300,12.498974,Stadsbiblioteket i Lyngby
2930,Klampenborg,Taarbæk Bibliotek,Lyngby-Taarbæk Bibliotekerne,Taarbæk Strandvej 96,55.7870693,Folkebibliotek,717303,12.5947267,Taarbæk Bibliotek
2830,Virum,Virum Mikrobibliotek,Lyngby-Taarbæk Bibliotekerne,Geels Plads 40,55.793748,Folkebibliotek,717305,12.47468,Virum Mikrobibliotek
2610,Rødovre,Rødovre Bibliotek,Rødovre Kommunebiblioteker,Rødovre Parkvej 140,55.680913,Folkebibliotek,717500,12.457274,Rødovre Kommunebiblioteker
2610,Rødovre,Islev,Rødovre Kommunebiblioteker,Rødovrevej 405,55.701627,Folkebibliotek,717501,12.454169,Islev Bibliotek: Trekanten
2610,Rødovre,Cafébiblioteket,Rødovre Kommunebiblioteker,Uddannelsescenter Milestedet Nørrekær 8,,Folkebibliotek,717502,,Cafébiblioteket: Tremilen
2635,Ishøj,Ishøj Bibliotek,Ishøj Bibliotek,Ishøj Store Torv 1,55.6137373,Folkebibliotek,718300,12.3559647,Ishøj Bibliotek
2635,Ishøj,Bib-boksen,Ishøj Bibliotek,Ishøj Store Torv 1,55.6137373,Folkebibliotek,718301,12.3559647,Afhentningssted Bibboks
2770,Kastrup,Tårnby Kommunebiblioteker,Tårnby Kommunebiblioteker,Kamillevej 10,55.632321,Folkebibliotek,718500,12.622646,Hovedbiblioteket
2770,Kastrup,Vestamager Bibliotek,Tårnby Kommunebiblioteker,Ugandavej 111,55.603256,Folkebibliotek,718502,12.586085,Filial Vestamager
2665,Vallensbæk Strand,Vallensbæk Bibliotek,Vallensbæk Bibliotek,Vallensbæk Stationstorv 40,55.624257,Folkebibliotek,718700,12.387463,Vallensbæk Bibliotek
2625,Vallensbæk,Pilehaveskolen,Vallensbæk Bibliotek,Horsbred 197A,55.6502132,Folkebibliotek,718711,12.3573339,Pilehaveskolen Biblioteksservicepunkt
3500,Værløse,Værløse Bibliotek,Furesø Bibliotek & Borgerservice,Bymidten 48,55.783473,Folkebibliotek,719000,12.371396,Værløse Bibliotek
3520,Farum,Farum Bibliotek,Furesø Bibliotek & Borgerservice,Stavnsholtvej 3,55.81374,Folkebibliotek,719001,12.377128,Farum Bibliotek
3500,Værløse,Hareskov Bibliotek,Furesø Bibliotek & Borgerservice,Poppel alle 12,55.764571,Folkebibliotek,719002,12.402532,Hareskov Bibliotek
3500,Værløse,Værløse Museum og Lokalarkiv,Furesø Bibliotek & Borgerservice,ikke udfyldt,,Folkebibliotek,719003,,Furesø Museum og Lokalarkiv
3450,Allerød,Allerød Bibliotek,Allerød Biblioteker,Skovensvej 4,55.86773,Folkebibliotek,720100,12.354155,Allerød Bibliotek
